iter	R2	RMSE
118	0.4959170082	9324653.785
119	0.4982587944	9302969.097
120	0.5003908142	9283182.772
121	0.5027504843	9261234.441
122	0.5050853768	9239465.259
123	0.5073313359	9218476.732
124	0.509624289	9196999.634
125	0.511852833	9176077.658
126	0.5139983713	9155889.784
127	0.5157053666	9139796.414
128	0.5179933043	9118181.43
129	0.5198722832	9100391.635
130	0.5220916	9079334.691
131	0.5239905258	9061278.78
132	0.5257879858	9044154.446
133	0.5274841995	9027964.892
134	0.5296767572	9006994.853
135	0.5316386726	8988189.246
136	0.5337723993	8967692.002
137	0.5352711	8953266.961
138	0.5372202452	8934471.537
139	0.5392219896	8915127.659
140	0.5413133874	8894872.479
141	0.5433090347	8875501.542
142	0.5451665745	8857433.092
143	0.5477088094	8832644.646
144	0.5495267585	8814875.709
145	0.5509521769	8800918.342
146	0.5525482136	8785264.005
147	0.5541117948	8769900.903
148	0.5556542191	8754719.264
149	0.5572393447	8739089.851
150	0.5588480115	8723199.69
151	0.5606036011	8705825.151
152	0.5624533013	8687481.635
153	0.56421288	8669995.836
154	0.5661344735	8650859.642
155	0.5676530096	8635707.3
156	0.5691117541	8621126.495
157	0.5706482405	8605741.91
158	0.5721975017	8590201.516
159	0.5737638782	8574460.808
160	0.5758700564	8553249.904
161	0.5773031869	8538787.007
162	0.5788978537	8522665.064
163	0.5802259349	8509214.968
164	0.5822639748	8488533.341
165	0.5836423227	8474517.529
166	0.5850345074	8460337.447
167	0.5864417388	8445979.911
168	0.5875809778	8434338.716
169	0.589180941	8417962.476
170	0.5910553045	8398737.029
171	0.5925612603	8383258.418
172	0.5937179709	8371350.006
173	0.5953529932	8354488.392
174	0.5966798767	8340779.485
175	0.5978602127	8328565.694
176	0.5990575492	8316157.659
177	0.6007323487	8298770.535
178	0.6019644702	8285955.83
179	0.6031753584	8273342.624
180	0.6044854706	8259674.158
181	0.6058537479	8245374.663
182	0.6070809263	8232528.627
183	0.6086904708	8215649.555
184	0.6100322347	8201552.112
185	0.6108782041	8192651.338
186	0.6117152337	8183835.097
187	0.6128980066	8171361.004
188	0.6141493983	8158142.458
189	0.6153947577	8144966.334
190	0.6165825212	8132379.696
191	0.6177276618	8120226.256
192	0.6189453714	8107282.65
193	0.6205065735	8090657.61
194	0.6216650438	8078299.095
195	0.622711075	8067123.809
196	0.6239457772	8053912.903
197	0.6247578937	8045211.697
198	0.6258049721	8033979.145
199	0.6268787435	8022443.911
200	0.627895874	8011501.837
201	0.6290279847	7999305.229
202	0.6303924842	7984580.26
203	0.6314584635	7973057.844
204	0.6324471517	7962355.981
205	0.6335542648	7950355.152
206	0.6347695174	7937161.23
207	0.6359573021	7924244.296
208	0.6368123424	7914932.845
209	0.6375942336	7906408.394
210	0.6384285918	7897301.781
211	0.6392454311	7888376.195
212	0.6403154511	7876668.805
213	0.6410188058	7868963.716
214	0.6421492261	7856564.39
215	0.6433091888	7843820.644
216	0.6440845891	7835290.272
217	0.6450839508	7824282.329
218	0.645709218	7817387.144
219	0.6464599368	7809100.488
220	0.6479093825	7793076.148
221	0.6489418308	7781641.798
222	0.6504095666	7765357.663
223	0.6513098726	7755352.09
224	0.6524822519	7742303.441
225	0.6534431733	7731591.91
226	0.654246248	7722628.521
227	0.6551620968	7712393.708
228	0.6562261884	7700485.164
229	0.656963204	7692226.212
230	0.6577363256	7683553.118
231	0.6585229463	7674718.529
232	0.6591950295	7667162.252
233	0.660220938	7655613.513
234	0.6610669141	7646077.166
235	0.6617839725	7637984.732
236	0.6624558771	7630394.097
237	0.6631589698	7622443.032
238	0.6643001668	7609519.89
239	0.6651669365	7599689.732
240	0.6659864106	7590384.253
241	0.666759156	7581598.936
242	0.6675713136	7572354.557
243	0.6688383044	7557910.462
244	0.6698603678	7546238.471
245	0.6705007634	7538915.928
246	0.6713411111	7529296.246
247	0.6722321035	7519083.38
248	0.6732642129	7507235.613
249	0.6740651908	7498028.143
250	0.6749095433	7488309.812
251	0.6758709587	7477228.732
252	0.6765625572	7469247.341
253	0.6773977971	7459596.871
254	0.6781201903	7451240.167
255	0.6786043834	7445633.732
256	0.6791385928	7439443.259
257	0.6799103883	7430490.506
258	0.6807104622	7421198.326
259	0.6814287468	7412846.135
260	0.6822514448	7403268.252
261	0.6828974934	7395738.235
262	0.6835998995	7387542.633
263	0.6842282157	7380203.793
264	0.6848642091	7372767.842
265	0.6857384614	7362533.943
266	0.6863187513	7355733.273
267	0.6869964856	7347782.641
268	0.6876421903	7340199.744
269	0.6882185088	7333425.067
270	0.6887711901	7326922.364
271	0.6895421573	7317841.715
272	0.6901089285	7311158.945
273	0.6907827154	7303206.403
274	0.6916102856	7293426.928
275	0.6922405501	7285970.228
276	0.6930334696	7276578.293
277	0.693575809	7270147.429
278	0.6944340363	7259959.242
279	0.6952495238	7250265.163
280	0.6957981677	7243735.878
281	0.6964844686	7235560.073
282	0.6971500547	7227622.206
283	0.6978726025	7218995.127
284	0.698569436	7210665.294
285	0.6992171799	7202913.631
286	0.7000784713	7192593.469
287	0.7007636237	7184373.252
288	0.7014275895	7176398.239
289	0.7018767568	7170998.181
290	0.7025901321	7162413.348
291	0.7033656371	7153069.151
292	0.7039190953	7146392.963
293	0.7046506544	7137558.82
294	0.7054389688	7128027.057
295	0.7061825355	7119024.657
296	0.7068318288	7111154.309
297	0.7073670508	7104660.11
298	0.7080158184	7096780.22
299	0.708700996	7088448.585
300	0.7092046517	7082317.974
301	0.7097449223	7075735.772
302	0.7104586566	7067030.836
303	0.7111568923	7058504.538
304	0.7118240661	7050347.91
305	0.7123141077	7044350.821
306	0.712671692	7039971.508
307	0.7133729509	7031375.317
308	0.7140004875	7023673.91
309	0.7145372853	7017079.381
310	0.7153076812	7007604.271
311	0.7159506433	6999686.652
312	0.7163141621	6995206.212
313	0.7168509299	6988585.191
314	0.7173602734	6982296.645
315	0.7181165049	6972949.463
316	0.7185539131	6967537.282
317	0.7190461308	6961441.894
318	0.7195358667	6955371.939
319	0.7200345083	6949186.155
320	0.7205138113	6943235.078
321	0.7208436335	6939137.006
322	0.7214588076	6931486.935
323	0.721904254	6925942.259
324	0.7226066103	6917190.679
325	0.7231148972	6910850.352
326	0.7237313937	6903152.413
327	0.7243665912	6895211.973
328	0.7251782091	6885052.822
329	0.7257279332	6878163.313
330	0.7262612212	6871473.193
331	0.7268386957	6864221.396
332	0.7272448991	6859115.791
333	0.7276867808	6853557.424
334	0.7283370522	6845369.543
335	0.7287302335	6840414.054
336	0.7292023143	6834459.402
337	0.7297030336	6828137.839
338	0.7301232858	6822827.649
339	0.7306147145	6816612.846
340	0.7311499726	6809837.306
341	0.7316676913	6803277.369
342	0.7319962694	6799110.72
343	0.7324731879	6793058.444
344	0.7328031557	6788867.869
345	0.7331916491	6783930.704
346	0.7337834636	6776402.721
347	0.7341945998	6771168.071
348	0.7345930738	6766090.773
349	0.7349874145	6761062.387
350	0.7353239539	6756768.087
351	0.7358374286	6750210.801
352	0.7363066186	6744213.473
353	0.7368296797	6737521.255
354	0.7373682535	6730623.61
355	0.7378557878	6724373.54
356	0.7381609225	6720458.829
357	0.7386559213	6714103.413
358	0.7392313102	6706708.278
359	0.7396954417	6700737.123
360	0.7403529924	6692268.465
361	0.7407408396	6687268.316
362	0.7411165626	6682420.905
363	0.741561304	6676678.501
364	0.7418718639	6672665.689
365	0.7422556747	6667703.049
366	0.7427361572	6661485.241
367	0.7432675093	6654602.378
368	0.7438523383	6647018.563
369	0.7444818165	6638846.075
370	0.7448338135	6634271.726
371	0.7453683735	6627318.853
372	0.7457412021	6622465.256
373	0.7460314519	6618684.23
374	0.746565274	6611724.591
375	0.7468817341	6607595.322
376	0.7471818929	6603676.371
377	0.7474783251	6599803.791
378	0.7478201334	6595335.597
379	0.7482772918	6589354.785
380	0.7485595563	6585659.325
381	0.7488450019	6581920.107
382	0.7496240904	6571703.545
383	0.7499376854	6567586.737
384	0.7502978423	6562855.488
385	0.7507343043	6557117.273
386	0.7509839567	6553832.804
387	0.7512387651	6550478.805
388	0.7516711115	6544783.973
389	0.7519191533	6541514.547
390	0.7521987838	6537826.792
391	0.7526415733	6531983.045
392	0.7530995432	6525933.448
393	0.7534502187	6521297.374
394	0.7537580442	6517225.074
395	0.7541939265	6511454.325
396	0.7544448875	6508129.472
397	0.7549432707	6501521.607
398	0.7554002598	6495456.662
399	0.7559001589	6488815.744
400	0.7561838299	6485044.288
401	0.7566874008	6478343.814
402	0.7569606636	6474704.899
403	0.7574341045	6468395.459
404	0.7578680435	6462607.041
405	0.7583917854	6455613.807
406	0.7588718113	6449197.63
407	0.7593437124	6442883.823
408	0.7596485028	6438802.584
409	0.7598672596	6435871.767
410	0.7603162957	6429851.573
411	0.7605337207	6426934.548
412	0.760900013	6422017.283
413	0.7612202855	6417714.722
414	0.7615501502	6413280.282
415	0.7619947494	6407298.583
416	0.7622961564	6403240.235
417	0.7627539013	6397071.923
418	0.7632717727	6390086.201
419	0.7636377699	6385144.546
420	0.7638190397	6382695.644
421	0.7641428792	6378318.327
422	0.7645248145	6373151.869
423	0.7647723215	6369801.591
424	0.7649752926	6367052.84
425	0.7653028399	6362614.503
426	0.7656458409	6357963.443
427	0.7660044476	6353097.13
428	0.7664887288	6346519.487
429	0.7668257105	6341938.481
430	0.7672017887	6336822.077
431	0.7675464054	6332130.067
432	0.767777224	6328985.489
433	0.7682087174	6323102.808
434	0.7683864647	6320677.932
435	0.7686821767	6316641.689
436	0.7690047623	6312235.698
437	0.7695005769	6305457.68
438	0.7697846512	6301570.965
439	0.7702408948	6295323.603
440	0.7705938924	6290485.735
441	0.7708438436	6287057.878
442	0.7710113175	6284760.077
443	0.7713714256	6279816.419
444	0.7717281259	6274915.705
445	0.7719846938	6271388.343
446	0.7723797242	6265953.482
447	0.7726672305	6261994.981
448	0.7729853574	6257611.965
449	0.7732950842	6253341.73
450	0.7735439862	6249907.978
451	0.7740108407	6243462.348
452	0.7742560661	6240073.976
453	0.7745794606	6235602.695
454	0.7749584746	6230358.331
455	0.775184035	6227235.186
456	0.7756510195	6220764.263
457	0.7759543912	6216556.884
458	0.7761769151	6213468.949
459	0.7764466158	6209724.292
460	0.7767191658	6205937.776
461	0.7770713169	6201041.946
462	0.777410066	6196328.788
463	0.7776722808	6192678.022
464	0.7780699887	6187136.699
465	0.7783234182	6183603.037
466	0.7788746694	6175909.756
467	0.7791356329	6172264.397
468	0.7794594813	6167737.612
469	0.7798912319	6161697.386
470	0.7800524569	6159440.317
471	0.7804311146	6154136.042
472	0.7807221312	6150056.344
473	0.7810567714	6145361.748
474	0.7813703808	6140958.932
475	0.7815862551	6137926.399
476	0.7819012573	6133498.661
477	0.7823032092	6127844.093
478	0.7827349062	6121765.26
479	0.7832077492	6115100.106
480	0.7834448869	6111754.697
481	0.7836173257	6109320.875
482	0.7839240534	6104989.284
483	0.7843250827	6099321.33
484	0.7845382928	6096305.777
485	0.7847857373	6092804.156
486	0.785311096	6085363.052
487	0.7855078376	6082574.088
488	0.7858076404	6078321.695
489	0.7860934551	6074264.936
490	0.7863244807	6070983.854
491	0.7865193205	6068215.312
492	0.7868568792	6063415.84
493	0.7871242315	6059611.878
494	0.7873771264	6056011.421
495	0.7875246611	6053909.984
496	0.7878529438	6049231.413
497	0.7881726264	6044671.927
498	0.7885132745	6039809.631
499	0.7887177421	6036889.249
500	0.7890187738	6032587.083
501	0.7891884748	6030160.464
502	0.7894000521	6027133.672
503	0.7896949557	6022912.289
504	0.7899985448	6018563.484
505	0.7902289884	6015260.364
506	0.7904722129	6011772.077
507	0.7907961334	6007123.315
508	0.79113821	6002210.078
509	0.7914335628	5997964.694
510	0.7917247808	5993775.8
511	0.7918928609	5991356.794
512	0.792100741	5988363.637
513	0.79242224	5983731.59
514	0.792653243	5980401.164
515	0.792780658	5978563.398
516	0.7930042216	5975337.468
517	0.7933538604	5970288.833
518	0.7935901138	5966875.015
519	0.7938765986	5962732.741
520	0.7941853425	5958265.399
521	0.7944972437	5953748.969
522	0.7946484316	5951558.487
523	0.7949222215	5947589.635
524	0.7951356352	5944494.157
525	0.7953439655	5941470.857
526	0.7955326568	5938731.229
527	0.7957657403	5935345.322
528	0.7959290931	5932971.212
529	0.7961512826	5929740.466
530	0.7964051401	5926047.094
531	0.7967479441	5921055.984
532	0.7969389213	5918273.595
533	0.7971547586	5915127.44
534	0.797354292	5912217.448
535	0.7975760092	5908982.247
536	0.7978435416	5905076.17
537	0.7979105025	5904098.112
538	0.798158648	5900472.18
539	0.7984142759	5896734.583
540	0.7987027353	5892514.102
541	0.7990440062	5887517.024
542	0.7993108562	5883606.7
543	0.7994505559	5881558.555
544	0.799711132	5877736.325
545	0.8000132525	5873301.594
546	0.8001947091	5870636.439
547	0.8004690549	5866604.67
548	0.8006739323	5863591.995
549	0.800804819	5861666.527
550	0.8009688303	5859252.87
551	0.8012324462	5855371.307
552	0.8013675577	5853380.886
553	0.8016373365	5849404.56
554	0.8018281779	5846590.076
555	0.8020506143	5843307.925
556	0.8023700448	5838591.354
557	0.8025784604	5835511.927
558	0.8027652281	5832750.974
559	0.8030036863	5829223.99
560	0.8031837059	5826559.944
561	0.8033486972	5824117.226
562	0.8035228553	5821537.682
563	0.8037277562	5818501.324
564	0.803956362	5815111.821
565	0.804188513	5811667.731
566	0.804363635	5809068.347
567	0.8045360593	5806507.869
568	0.8047008545	5804059.626
569	0.8048739508	5801486.946
570	0.8051860132	5796845.971
571	0.8054330045	5793170.095
572	0.805647489	5789976.11
573	0.8058422263	5787074.663
574	0.8061312807	5782765.275
575	0.8062991168	5780261.604
576	0.8064704408	5777704.785
577	0.8066524851	5774986.735
578	0.8067969876	5772828.301
579	0.8069951274	5769867.373
580	0.807206493	5766707.127
581	0.8073329488	5764815.586
582	0.8076133255	5760619.466
583	0.8079313017	5755856.929
584	0.808152394	5752543.162
585	0.8083925004	5748942.244
586	0.8086734305	5744726.221
587	0.8088738976	5741715.842
588	0.8090711194	5738752.659
589	0.8092486225	5736084.431
590	0.8095053525	5732223.068
591	0.8097967909	5727836.516
592	0.8099414647	5725657.726
593	0.8101471738	5722558.316
594	0.8102960659	5720313.917
595	0.8104200477	5718444.344
596	0.8106749129	5714599.205
597	0.8109518335	5710418.383
598	0.8111113581	5708008.561
599	0.8113059742	5705067.261
600	0.8115584987	5701248.507
601	0.8117413669	5698481.521
602	0.8119530668	5695276.602
603	0.8121367732	5692494.014
604	0.8123225766	5689678.278
605	0.8125226921	5686644.093
606	0.8126608624	5684548.184
607	0.8128995219	5680926.134
608	0.8130413375	5678772.754
609	0.8132554952	5675519.358
610	0.813421485	5672996.425
611	0.8136424798	5669635.711
612	0.8138536723	5666422.199
613	0.8139891291	5664360.124
614	0.8141093987	5662528.617
615	0.8142443977	5660472.1
616	0.8144546894	5657267.116
617	0.8147159193	5653283.271
618	0.8148010074	5651985.042
619	0.8149687277	5649425.18
620	0.8152002689	5645889.334
621	0.8154525673	5642033.984
622	0.8155735107	5640184.924
623	0.8158179913	5636445.296
624	0.8160236476	5633297.61
625	0.8162386977	5630004.264
626	0.8164258215	5627137.022
627	0.8166410272	5623837.683
628	0.8167854605	5621622.276
629	0.8169979706	5618361.076
630	0.8172618461	5614308.983
631	0.8174972592	5610691.491
632	0.8177431775	5606910.077
633	0.8179645729	5603503.561
634	0.818050603	5602179.294
635	0.8183412807	5597702.557
636	0.818611017	5593545.134
637	0.8187470139	5591447.852
638	0.8188559882	5589766.734
639	0.819083282	5586258.701
640	0.8192245138	5584077.831
641	0.8194981809	5579849.5
642	0.8196481093	5577531.653
643	0.8197408418	5576097.554
644	0.8199340819	5573107.929
645	0.8203219794	5567101.905
646	0.8204579763	5564994.658
647	0.8206167902	5562532.855
648	0.8208265456	5559279.73
649	0.8209886444	5556764.41
650	0.8211949797	5553561.018
651	0.8213610313	5550981.695
652	0.8214835993	5549077.045
653	0.8217070018	5545603.79
654	0.821780483	5544460.897
655	0.8220148311	5540814.379
656	0.822345343	5535667.445
657	0.8225892087	5531866.749
658	0.8227143548	5529915.306
659	0.8228858758	5527239.607
660	0.8231071624	5523785.658
661	0.8233104606	5520610.576
662	0.8234749383	5518040.45
663	0.8236283951	5515641.456
664	0.8237704219	5513420.218
665	0.8239475825	5510648.247
666	0.8241811027	5506992.306
667	0.8243702217	5504029.721
668	0.8245596591	5501060.548
669	0.8247315915	5498364.354
670	0.824882643	5495994.516
671	0.8250605558	5493201.943
672	0.8254060522	5487774.867
673	0.8255587902	5485373.939
674	0.8257504048	5482360.411
675	0.8259279966	5479565.941
676	0.8262395098	5474660.725
677	0.8264028504	5472086.94
678	0.8265486412	5469788.665
679	0.826723174	5467036.027
680	0.8268926012	5464362.585
681	0.8270850292	5461324.62
682	0.8272333993	5458981.066
683	0.82737829	5456691.498
684	0.8275164134	5454507.973
685	0.8276984604	5451628.746
686	0.8278392614	5449400.815
687	0.8281051474	5445191.147
688	0.8282557299	5442805.589
689	0.8284156135	5440271.538
690	0.8285527892	5438096.449
691	0.8287871319	5434378.645
692	0.8289228328	5432224.613
693	0.8290898882	5429571.705
694	0.8292560285	5426932.043
695	0.8293921247	5424768.768
696	0.8295374505	5422457.834
697	0.8296615422	5420483.781
698	0.8298943989	5416777.549
699	0.8300520479	5414266.91
700	0.8301843168	5412159.563
701	0.8303735436	5409143.319
702	0.8304812235	5407426.168
703	0.8306882771	5404122.79
704	0.8309335083	5400207.705
705	0.8310866465	5397761.432
706	0.8312186487	5395651.902
707	0.8313858449	5392978.75
708	0.8315194819	5390841.195
709	0.8316929661	5388065.009
710	0.8319030426	5384701.337
711	0.8321060074	5381449.538
712	0.8322416494	5379275.255
713	0.8324189395	5376432.046
714	0.8326505678	5372715.145
715	0.8328692457	5369203.696
716	0.8331201726	5365171.572
717	0.8332971855	5362325.343
718	0.8334932592	5359170.866
719	0.8337177849	5355556.364
720	0.8339103566	5352454.327
721	0.8340047179	5350933.653
722	0.8341576718	5348467.816
723	0.8342158792	5347529.129
724	0.8343438453	5345464.896
725	0.8345603445	5341970.709
726	0.8347230856	5339342.644
727	0.8348684755	5336993.685
728	0.8350069092	5334756.152
729	0.8352169504	5331359.418
730	0.8355330574	5326243.33
731	0.8356861395	5323763.98
732	0.8358251345	5321511.786
733	0.8359823411	5318963.353
734	0.836226515	5315002.696
735	0.8364521773	5311339.682
736	0.8367069408	5307201.251
737	0.8368395085	5305046.516
738	0.8369895417	5302606.844
739	0.8371875426	5299385.456
740	0.8372975808	5297594.335
741	0.8374561812	5295011.69
742	0.8376435683	5291958.658
743	0.837921354	5287429.549
744	0.8381091224	5284365.913
745	0.8383174273	5280965.123
746	0.8384700117	5278472.638
747	0.8385549661	5277084.386
748	0.8387543017	5273825.581
749	0.83895783	5270496.154
750	0.8391369978	5267563.487
751	0.8392571339	5265596.153
752	0.8394020636	5263221.822
753	0.8395281095	5261155.986
754	0.8395741566	5260401.094
755	0.8397216726	5257981.995
756	0.8399739057	5253843.072
757	0.8400778582	5252136.354
758	0.8402999828	5248487.598
759	0.8404883756	5245390.951
760	0.840730023	5241416.27
761	0.8408647967	5239198.167
762	0.8409768556	5237353.187
763	0.8411183182	5235023.167
764	0.8412819749	5232326.294
765	0.8413708695	5230860.831
766	0.8415077472	5228603.545
767	0.8417199591	5225101.975
768	0.841861717	5222761.612
769	0.8420744142	5219248.103
770	0.842229259	5216688.76
771	0.8423387207	5214878.77
772	0.842490524	5212367.607
773	0.8426089544	5210407.666
774	0.8426790873	5209246.666
775	0.8428127171	5207033.805
776	0.8430174982	5203640.88
777	0.8432223421	5200244.698
778	0.8434544776	5196393.357
779	0.8435790491	5194325.424
780	0.8436952957	5192394.944
781	0.8438505368	5189815.772
782	0.8440453936	5186576.611
783	0.8441317979	5185139.64
784	0.8442938488	5182443.532
785	0.8444172925	5180388.806
786	0.8445154491	5178754.404
787	0.8447703784	5174507.171
788	0.8449595568	5171353.123
789	0.8451344126	5168436.155
790	0.8452528787	5166458.95
791	0.8454249026	5163586.519
792	0.8456126864	5160449.103
793	0.8457645093	5157911.112
794	0.845986975	5154189.944
795	0.8461104396	5152123.6
796	0.8462928969	5149068.419
797	0.8464221513	5146903.003
798	0.8465606238	5144582.143
799	0.846718187	5141940.041
800	0.8469188911	5138572.562
801	0.8471555489	5134599.002
802	0.8473601448	5131161.292
803	0.8474814444	5129122.076
804	0.8476157214	5126863.744
805	0.8477995363	5123770.649
806	0.8479187036	5121764.395
807	0.8480391873	5119735.18
808	0.8481704879	5117522.869
809	0.8483030567	5115288.217
810	0.8484706934	5112461.044
811	0.8486639689	5109199.533
812	0.8488383323	5106255.375
813	0.8489544374	5104293.979
814	0.8490804988	5102163.533
815	0.8492036692	5100081.086
816	0.8494456532	5095987.373
817	0.8496337889	5092802.355
818	0.8497932836	5090100.649
819	0.8498899285	5088462.867
820	0.8500699975	5085409.945
821	0.850230308	5082690.466
822	0.8504775672	5078493.151
823	0.8506897594	5074888.344
824	0.8508591357	5072009.071
825	0.8509781967	5069984.143
826	0.8511090164	5067758.296
827	0.8512569796	5065239.58
828	0.8513704564	5063307.062
829	0.8515471304	5060296.825
830	0.8516822859	5057992.785
831	0.8517898541	5056158.285
832	0.8520459083	5051788.778
833	0.8521022856	5050826.205
834	0.8523461426	5046660.531
835	0.8524936798	5044138.564
836	0.8526054816	5042226.61
837	0.8527290298	5040112.934
838	0.8529673523	5036033.18
839	0.8530933775	5033874.465
840	0.8532077291	5031914.907
841	0.8533229936	5029938.935
842	0.8534278446	5028140.805
843	0.8535166292	5026617.702
844	0.8536530569	5024276.38
845	0.853762422	5022398.707
846	0.8538887634	5020228.698
847	0.8540348602	5017718.203
848	0.8541285849	5016106.997
849	0.8542011428	5014859.311
850	0.8543052936	5013067.82
851	0.854501017	5009699.46
852	0.8545854018	5008246.516
853	0.8547292871	5005768.114
854	0.8548032057	5004494.402
855	0.8550328531	5000535.21
856	0.855180109	4997994.822
857	0.855384313	4994469.857
858	0.85546351	4993102.09
859	0.8556449773	4989966.655
860	0.8557357629	4988397.3
861	0.8559761667	4984239.201
862	0.8561403869	4981396.803
863	0.8562687418	4979174.049
864	0.8563891742	4977087.587
865	0.8565434138	4974414.147
866	0.8566496482	4972571.944
867	0.8568182787	4969646.336
868	0.8568741794	4968676.123
869	0.8570725603	4965231.487
870	0.8571447786	4963976.915
871	0.8573078831	4961142.303
872	0.8575200884	4957451.937
873	0.8576413929	4955341.15
874	0.8577614178	4953251.744
875	0.8579002692	4950833.505
876	0.8580248547	4948662.715
877	0.8582102487	4945430.627
878	0.8583324338	4943299.344
879	0.8585229192	4939974.862
880	0.8586899321	4937058.194
881	0.8588687932	4933932.701
882	0.8590343375	4931038.146
883	0.8591120143	4929679.374
884	0.8593699943	4925163.939
885	0.8594722114	4923373.682
886	0.8595893014	4921322.138
887	0.8596024624	4921091.49
888	0.8597165265	4919092.046
889	0.8598191265	4917292.863
890	0.859937908	4915209.101
891	0.8601122886	4912148.373
892	0.8602458606	4909802.626
893	0.8604176893	4906783.379
894	0.8606139748	4903332.121
895	0.8608149082	4899796.622
896	0.8609113868	4898098.137
897	0.8609984364	4896565.142
898	0.8611446301	4893989.505
899	0.861326063	4890791.137
900	0.8614967244	4887780.744
901	0.8616064356	4885844.506
902	0.8616829241	4884494.144
903	0.8617947415	4882519.4
904	0.8619066358	4880542.498
905	0.8620504681	4878000.15
906	0.8621557014	4876139.231
907	0.8622638806	4874225.476
908	0.862353047	4872647.504
909	0.8624681014	4870610.638
910	0.8626136003	4868033.577
911	0.8627097643	4866329.582
912	0.8628058254	4864626.814
913	0.8629043275	4862880.159
914	0.8629186309	4862626.477
915	0.8630427667	4860424.27
916	0.8631125398	4859186.037
917	0.8631256796	4858952.815
918	0.8632790176	4856230.35
919	0.8634126325	4853856.818
920	0.8634810014	4852641.866
921	0.86359183	4850671.735
922	0.8637710747	4847483.718
923	0.8638686998	4845746.492
924	0.8639578047	4844160.338
925	0.8640446401	4842614.083
926	0.8641424884	4840871.133
927	0.8642815574	4838392.848
928	0.8643679368	4836852.879
929	0.8644719632	4834997.652
930	0.8645723801	4833206.12
931	0.8646486497	4831844.955
932	0.8648192158	4828799.515
933	0.8648982159	4827388.327
934	0.8650462652	4824742.591
935	0.8651583095	4822739.322
936	0.8652569359	4820975.267
